,Microphone
1370,-15884
1371,-15868
1372,-16580
1373,-17076
1374,-17548
1375,-17220
1376,-16924
1377,-15588
1378,-15060
1379,-15596
1380,-16092
1381,-16492
1382,-16372
1383,-15700
1384,-15556
1385,-15772
1386,-15764
1387,-16244
1388,-16564
1389,-16788
1390,-16108
1391,-15660
1392,-15396
1393,-15932
1394,-16884
1395,-16828
1396,-16772
1397,-16100
1398,-14972
1399,-14388
1400,-14804
1401,-14948
1402,-15276
1403,-15148
1404,-14684
1405,-14844
1406,-15060
1407,-15412
1408,-15388
1409,-15228
1410,-15180
1411,-15780
1412,-16300
1413,-16292
1414,-16292
1415,-15268
1416,-15388
1417,-15852
1418,-15892
1419,-15164
1420,-14548
1421,-14420
1422,-14980
1423,-15340
1424,-15532
1425,-14836
1426,-14500
1427,-14324
1428,-14844
1429,-15820
1430,-16716
1431,-16900
1432,-16108
1433,-15572
1434,-15012
1435,-15372
1436,-15788
1437,-15724
1438,-15940
1439,-16092
1440,-15732
1441,-15540
1442,-15292
1443,-14548
1444,-14092
1445,-15492
1446,-15148
1447,-15100
1448,-15588
1449,-15420
1450,-15684
1451,-15900
1452,-15764
1453,-15228
1454,-14700
1455,-14476
1456,-14196
1457,-14828
1458,-15388
1459,-15444
1460,-14956
1461,-14660
1462,-13980
1463,-14244
1464,-14420
1465,-14476
1466,-13988
1467,-14444
1468,-14668
1469,-14644
1470,-14340
1471,-13636
1472,-13788
1473,-14364
1474,-14532
1475,-14636
1476,-14756
1477,-15300
1478,-15724
1479,-15084
1480,-14748
1481,-13636
1482,-13484
1483,-14092
1484,-14644
1485,-15612
1486,-15660
1487,-14892
1488,-14748
1489,-13996
1490,-13716
1491,-14148
1492,-15244
1493,-15148
1494,-16148
1495,-16212
1496,-15268
1497,-15276
1498,-14980
1499,-14660
1500,-14372
1501,-14516
1502,-14052
1503,-14556
1504,-14188
1505,-14908
1506,-14956
1507,-14308
1508,-14604
1509,-14724
1510,-15204
1511,-15628
1512,-16028
1513,-16068
1514,-16180
1515,-16364
1516,-15900
1517,-16460
1518,-16412
1519,-15844
1520,-15268
1521,-15644
1522,-15740
1523,-15844
1524,-15388
1525,-15116
1526,-14916
1527,-14436
1528,-14468
1529,-14332
1530,-15308
1531,-15924
1532,-14948
1533,-15180
1534,-17228
1535,-15660
1536,-14228
1537,-16540
1538,-16068
1539,-15964
1540,-18580
1541,-17780
1542,-15932
1543,-15772
1544,-15684
1545,-16180
1546,-20540
1547,-17716
1548,-14156
1549,-16460
1550,-13276
1551,-9172
1552,-10484
1553,-12476
1554,-20452
1555,-26204
1556,-22772
1557,-17516
1558,-15260
1559,-8676
1560,-8252
1561,-12628
1562,-15076
1563,-15876
1564,-19020
1565,-18316
1566,-15628
1567,-16716
1568,-15620
1569,-14604
1570,-15820
1571,-15052
1572,-17300
1573,-19956
1574,-17284
1575,-16180
1576,-14868
1577,-10396
1578,-5716
1579,-4436
1580,-7148
1581,-14612
1582,-20532
1583,-22932
1584,-23324
1585,-19804
1586,-17084
1587,-18084
1588,-14572
1589,-10092
1590,-10052
1591,-12244
1592,-15044
1593,-15316
1594,-12932
1595,-15076
1596,-17996
1597,-18028
1598,-19508
1599,-20740
1600,-22484
1601,-22092
1602,-19580
1603,-15124
1604,-9892
1605,-5892
1606,-2964
1607,732
1608,292
1609,-3132
1610,-9284
1611,-16924
1612,-23060
1613,-28044
1614,-30340
1615,-32028
1616,-30916
1617,-27076
1618,-20388
1619,-16820
1620,-14948
1621,-9756
1622,-4764
1623,-652
1624,1556
1625,452
1626,-2628
1627,-6620
1628,-11988
1629,-16764
1630,-19796
1631,-21604
1632,-21668
1633,-22220
1634,-21516
1635,-18692
1636,-15196
1637,-10020
1638,-7812
1639,-10852
1640,-12900
1641,-16108
1642,-19044
1643,-20116
1644,-22900
1645,-23668
1646,-21148
1647,-19324
1648,-16412
1649,-14340
1650,-12068
1651,-8604
1652,-6036
1653,-5860
1654,-5476
1655,-6716
1656,-7388
1657,-9468
1658,-13180
1659,-17844
1660,-20964
1661,-20724
1662,-19044
1663,-17884
1664,-15180
1665,-12124
1666,-8932
1667,-6220
1668,-7388
1669,-11092
1670,-15268
1671,-20036
1672,-23188
1673,-25116
1674,-26676
1675,-27076
1676,-25516
1677,-23188
1678,-20740
1679,-18244
1680,-13924
1681,-9596
1682,-7468
1683,-6156
1684,-7052
1685,-7980
1686,-8012
1687,-9284
1688,-11852
1689,-13612
1690,-14084
1691,-14780
1692,-14868
1693,-14620
1694,-12404
1695,-10076
1696,-8660
1697,-9092
1698,-11532
1699,-14484
1700,-17436
1701,-20236
1702,-23476
1703,-25188
1704,-25188
1705,-23860
1706,-21572
1707,-20212
1708,-18484
1709,-16228
1710,-14212
1711,-13404
1712,-13124
1713,-11964
1714,-11084
1715,-11388
1716,-12612
1717,-14660
1718,-16716
1719,-17108
1720,-16436
1721,-14916
1722,-11988
1723,-8140
1724,-5772
1725,-4356
1726,-4188
1727,-5860
1728,-8732
1729,-12620
1730,-16044
1731,-19708
1732,-21668
1733,-23220
1734,-24796
1735,-24884
1736,-23196
1737,-21364
1738,-18708
1739,-15884
1740,-14292
1741,-12652
1742,-12660
1743,-13124
1744,-13764
1745,-14084
1746,-14716
1747,-16020
1748,-18636
1749,-19940
1750,-18636
1751,-16588
1752,-13100
1753,-8916
1754,-5732
1755,-3804
